match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2025_142_152_2025-08-17 15:00:00,2025-08-17 15:00:00,True,152,Celta Vigo,l,142,Getafe,0.744247,0,110,29,11,0.6757,0.744247,1.50131,2,308,19,6,1.50131,11,10,1.76,3.43,5.71
La_liga 2025_152_239_2025-08-23 15:00:00,2025-08-23 15:00:00,False,152,Celta Vigo,d,239,Mallorca,0.917413,1,245,15,2,1.5911,0.917413,0.664974,1,300,17,6,0.664974,8,12,2.6,3.1,3.06
La_liga 2025_152_153_2025-08-27 19:00:00,2025-08-27 19:00:00,True,152,Celta Vigo,d,153,Real Betis,0.905201,1,298,15,12,1.4881,0.905201,0.714458,1,313,23,3,0.714458,14,7,2.21,3.6,3.3
La_liga 2025_152_154_2025-08-31 15:00:00,2025-08-31 15:00:00,True,152,Celta Vigo,d,154,Villarreal,0.876041,1,215,22,9,1.2254,0.876041,0.96978,1,411,19,7,0.96978,10,8,2.76,3.64,2.52
La_liga 2025_152_223_2025-09-14 12:00:00,2025-09-14 12:00:00,True,152,Celta Vigo,d,223,Girona,1.80278,1,265,22,11,1.6802,1.0595,1.41213,1,337,15,11,1.41213,21,13,1.71,4.22,4.67
La_liga 2025_145_152_2025-09-21 12:00:00,2025-09-21 12:00:00,False,152,Celta Vigo,d,145,Rayo Vallecano,1.28175,1,286,14,10,1.3304,1.28175,1.3145,1,211,17,7,1.3145,9,15,3.3,3.31,2.33
La_liga 2025_152_207_2025-09-28 14:15:00,2025-09-28 14:15:00,False,152,Celta Vigo,l,207,Elche,0.821768,1,289,25,5,0.0572,0.821768,4.03596,2,213,20,6,3.29281,8,17,2.68,3.2,2.89
La_liga 2025_143_152_2025-10-05 19:00:00,2025-10-05 19:00:00,True,152,Celta Vigo,d,143,Atletico Madrid,2.27285,1,289,24,12,2.6138999999999997,2.27285,0.710823,1,314,16,3,0.710823,18,6,4.39,4.06,1.78
La_liga 2025_140_152_2025-10-19 14:15:00,2025-10-19 14:15:00,True,152,Celta Vigo,d,140,Real Sociedad,0.717367,1,245,8,2,0.436,0.717367,2.13562,1,235,33,10,2.13562,4,17,2.11,3.42,3.74
La_liga 2025_152_157_2025-10-26 17:30:00,2025-10-26 17:30:00,False,152,Celta Vigo,w,157,Osasuna,1.54054,3,271,15,1,0.7801,1.54054,2.318,2,216,23,10,0.831447,11,17,3.24,3.2,2.43
La_liga 2025_151_152_2025-11-02 13:00:00,2025-11-02 13:00:00,False,152,Celta Vigo,w,151,Levante,1.92474,2,204,30,20,1.8801,1.92474,1.23651,1,317,16,3,0.384266,20,9,2.51,3.41,2.93
La_liga 2025_148_152_2025-11-09 20:00:00,2025-11-09 20:00:00,True,152,Celta Vigo,l,148,Barcelona,0.512253,2,329,22,4,0.0633,0.512253,3.42936,4,279,25,8,2.68608,5,21,4.65,4.34,1.69
