match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2025_141_143_2025-08-17 19:30:00,2025-08-17 19:30:00,False,143,Atletico Madrid,l,141,Espanyol,1.29319,1,238,18,17,1.1873,1.29319,1.41508,2,374,19,2,1.41508,15,10,1.6,3.86,6.57
La_liga 2025_143_207_2025-08-23 17:30:00,2025-08-23 17:30:00,True,143,Atletico Madrid,d,207,Elche,1.68159,1,255,32,13,2.4916,1.68159,0.313268,1,271,18,1,0.313268,13,6,1.24,6.28,12.89
La_liga 2025_143_158_2025-08-30 15:00:00,2025-08-30 15:00:00,False,143,Atletico Madrid,d,158,Alaves,0.960547,1,187,34,9,1.3203,0.960547,0.855094,1,293,14,3,0.111816,15,5,1.82,3.61,4.77
La_liga 2025_143_154_2025-09-13 19:00:00,2025-09-13 19:00:00,True,143,Atletico Madrid,w,154,Villarreal,1.5106,2,200,14,5,2.1187,1.5106,0.668177,0,370,17,3,0.668177,8,8,1.86,3.62,4.51
La_liga 2025_143_239_2025-09-21 14:15:00,2025-09-21 14:15:00,False,143,Atletico Madrid,d,239,Mallorca,2.08772,1,202,9,9,2.5861,1.34445,0.530939,1,259,18,4,0.530939,12,8,1.76,3.69,5.05
La_liga 2025_143_145_2025-09-24 19:30:00,2025-09-24 19:30:00,True,143,Atletico Madrid,w,145,Rayo Vallecano,4.95017,3,230,24,12,2.8550000000000004,4.95017,1.61988,2,304,21,2,1.61988,20,9,1.5,4.51,6.63
La_liga 2025_143_150_2025-09-27 14:15:00,2025-09-27 14:15:00,True,143,Atletico Madrid,w,150,Real Madrid,2.79075,5,287,20,8,2.5561000000000003,2.04748,1.02797,2,161,17,5,1.02797,13,6,3.02,3.62,2.35
La_liga 2025_143_152_2025-10-05 19:00:00,2025-10-05 19:00:00,False,143,Atletico Madrid,d,152,Celta Vigo,0.710823,1,314,16,3,0.2403,0.710823,2.27285,1,289,24,12,2.27285,6,18,1.78,4.06,4.39
La_liga 2025_143_157_2025-10-18 19:00:00,2025-10-18 19:00:00,True,143,Atletico Madrid,w,157,Osasuna,2.24415,1,206,21,14,2.2838,2.24415,0.981492,0,292,21,7,0.981492,18,9,1.37,5.13,8.83
La_liga 2025_143_153_2025-10-27 20:00:00,2025-10-27 20:00:00,False,143,Atletico Madrid,w,153,Real Betis,0.876554,2,239,19,6,0.9804,0.876554,1.33792,0,276,24,7,1.33792,9,17,2.23,3.82,3.09
La_liga 2025_138_143_2025-11-01 15:15:00,2025-11-01 15:15:00,True,143,Atletico Madrid,w,138,Sevilla,2.98632,3,344,24,13,2.8549,2.24305,0.376887,0,274,22,2,0.376887,15,10,1.34,5.82,8.48
La_liga 2025_143_151_2025-11-08 17:30:00,2025-11-08 17:30:00,True,143,Atletico Madrid,w,151,Levante,3.03599,3,104,19,18,2.4914,3.03599,1.29112,1,319,10,3,1.29112,25,6,1.22,7.03,12.07
La_liga 2025_142_143_2025-11-23 17:30:00,2025-11-23 17:30:00,False,143,Atletico Madrid,w,142,Getafe,1.47677,1,106,21,7,2.1559,1.47677,0.578828,0,261,20,7,0.578828,13,9,1.75,3.6,5.33
La_liga 2025_143_289_2025-11-29 20:00:00,2025-11-29 20:00:00,True,143,Atletico Madrid,w,289,Real Oviedo,2.40693,2,305,21,13,2.4014,2.40693,0.921985,0,311,26,4,0.921985,14,12,1.23,6.19,15.28
La_liga 2025_143_148_2025-12-02 20:00:00,2025-12-02 20:00:00,False,143,Atletico Madrid,l,148,Barcelona,1.35018,1,320,25,6,0.2838,1.35018,3.46121,3,221,25,8,2.71794,7,19,4.22,4.46,1.75
La_liga 2025_143_147_2025-12-06 20:00:00,2025-12-06 20:00:00,False,143,Atletico Madrid,l,147,Athletic Club,0.771885,0,207,16,3,1.0011,0.771885,1.18636,1,308,26,6,1.18636,7,14,2.31,3.33,3.33
La_liga 2025_143_146_2025-12-13 13:00:00,2025-12-13 13:00:00,True,143,Atletico Madrid,w,146,Valencia,2.07076,2,301,38,4,1.9665999999999997,2.07076,1.26068,1,255,20,6,1.26068,10,13,1.33,5.0,11.34
La_liga 2025_143_223_2025-12-21 13:00:00,2025-12-21 13:00:00,False,143,Atletico Madrid,w,223,Girona,1.26201,3,316,25,12,1.4323,1.26201,1.11565,0,286,21,5,1.11565,14,9,1.68,4.18,4.93
La_liga 2025_140_143_2026-01-04 20:00:00,2026-01-04 20:00:00,False,143,Atletico Madrid,d,140,Real Sociedad,1.37325,1,206,18,5,1.1118,1.37325,1.70649,1,328,31,9,1.70649,10,18,1.97,3.72,3.86
La_liga 2025_143_158_2026-01-18 15:15:00,2026-01-18 15:15:00,True,143,Atletico Madrid,w,158,Alaves,1.7743,1,262,34,13,1.7727,1.7743,1.21004,0,303,12,0,1.21004,23,8,1.3,5.25,10.0
La_liga 2025_143_239_2026-01-25 13:00:00,2026-01-25 13:00:00,True,143,Atletico Madrid,w,239,Mallorca,1.42501,3,216,27,8,2.3072999999999997,1.42501,0.367893,0,315,15,1,0.367893,17,6,1.3,5.25,10.0
La_liga 2025_143_151_2026-01-31 17:30:00,2026-01-31 17:30:00,False,143,Atletico Madrid,d,151,Levante,0.615283,0,248,24,9,1.4893999999999998,0.615283,0.41109,0,260,24,2,0.41109,10,10,1.62,4.0,5.25
La_liga 2025_143_153_2026-02-08 17:30:00,2026-02-08 17:30:00,True,143,Atletico Madrid,l,153,Real Betis,0.625525,0,218,18,8,1.1015,0.625525,0.839838,1,340,4,2,0.839838,10,8,1.48,4.75,6.25
La_liga 2025_143_145_2026-02-15 15:15:00,2026-02-15 15:15:00,False,143,Atletico Madrid,l,145,Rayo Vallecano,0.752854,0,218,19,4,0.1855,0.752854,2.75329,3,311,24,4,2.75329,9,13,1.83,3.3,4.2
La_liga 2025_141_143_2026-02-21 20:00:00,2026-02-21 20:00:00,True,143,Atletico Madrid,w,141,Espanyol,3.28587,4,241,25,13,2.7266999999999997,3.28587,1.04114,2,396,18,3,1.04114,18,8,1.5,4.1,7.0
La_liga 2025_143_289_2026-02-28 20:00:00,2026-02-28 20:00:00,False,143,Atletico Madrid,w,289,Real Oviedo,0.853142,1,205,17,7,0.8465,0.853142,1.50089,0,335,21,4,1.50089,12,16,1.67,3.6,5.75
La_liga 2025_140_143_2026-03-07 17:30:00,2026-03-07 17:30:00,True,143,Atletico Madrid,w,140,Real Sociedad,3.57972,3,263,23,25,2.9181,3.57972,0.313932,2,205,16,4,0.313932,24,7,1.62,3.9,5.25
La_liga 2025_142_143_2026-03-14 15:15:00,2026-03-14 15:15:00,True,143,Atletico Madrid,w,142,Getafe,2.14469,1,122,28,16,1.7964000000000002,2.14469,1.58248,0,329,25,4,1.58248,16,7,1.57,3.8,6.5
La_liga 2025_143_150_2026-03-22 20:00:00,2026-03-22 20:00:00,False,143,Atletico Madrid,l,150,Real Madrid,1.40234,2,288,16,6,0.37159999999999993,1.40234,2.96605,3,270,13,7,2.22277,13,17,3.5,4.0,1.95
La_liga 2025_143_148_2026-04-04 19:00:00,2026-04-04 19:00:00,True,143,Atletico Madrid,l,148,Barcelona,0.919286,1,311,19,3,0.31479999999999997,0.919286,2.68584,2,200,19,13,2.68584,6,22,3.1,3.8,2.15
La_liga 2025_138_143_2026-04-11 19:00:00,2026-04-11 19:00:00,False,143,Atletico Madrid,l,138,Sevilla,0.855474,1,110,15,6,0.6807000000000001,0.855474,1.6578,2,347,17,6,0.91452,13,11,2.8,3.1,2.7
La_liga 2025_143_207_2026-04-22 17:00:00,2026-04-22 17:00:00,False,143,Atletico Madrid,l,207,Elche,0.846836,2,264,21,3,0.10450000000000001,0.846836,3.62854,3,145,24,12,2.88526,6,14,2.45,3.8,2.55
La_liga 2025_143_147_2026-04-25 19:00:00,2026-04-25 19:00:00,True,143,Atletico Madrid,w,147,Athletic Club,2.47955,3,272,18,2,2.4198000000000004,2.47955,0.970599,2,381,23,5,0.970599,6,12,2.2,3.6,3.1
La_liga 2025_143_146_2026-05-02 14:15:00,2026-05-02 14:15:00,False,143,Atletico Madrid,w,146,Valencia,1.80568,2,275,25,8,2.1345,1.80568,0.778471,0,236,26,6,0.778471,20,12,4.0,3.9,1.8
La_liga 2025_143_152_2026-05-09 16:30:00,2026-05-09 16:30:00,True,143,Atletico Madrid,l,152,Celta Vigo,2.78506,0,310,25,14,2.8705,2.78506,0.292392,1,301,15,2,0.292392,20,3,2.05,3.5,3.5
La_liga 2025_143_157_2026-05-12 19:30:00,2026-05-12 19:30:00,False,143,Atletico Madrid,w,157,Osasuna,1.8226,2,224,14,4,0.9943,1.07932,2.41049,1,213,25,8,2.41049,5,23,2.63,3.5,2.55
La_liga 2025_143_223_2026-05-17 17:00:00,2026-05-17 17:00:00,True,143,Atletico Madrid,w,223,Girona,2.70772,1,209,22,14,1.8725999999999998,2.70772,2.0015,0,260,19,15,2.0015,17,25,1.73,3.6,4.5
La_liga 2025_143_154_2026-05-24 19:00:00,2026-05-24 19:00:00,False,143,Atletico Madrid,l,154,Villarreal,1.58431,1,283,24,11,0.6019000000000001,1.58431,2.80441,5,282,9,5,2.06113,9,14,2.75,3.6,2.45
