match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2025_111_272_2025-08-23 18:45:00,2025-08-23 18:45:00,True,111,AC Milan,l,272,Cremonese,2.08498,1,232,17,19,2.6003000000000003,2.08498,0.363576,2,348,20,0,0.363576,24,4,1.36,5.42,8.57
Serie_A 2025_111_243_2025-08-29 18:45:00,2025-08-29 18:45:00,False,111,AC Milan,w,243,Lecce,2.13175,2,214,10,11,2.5508,2.13175,0.481693,0,305,14,7,0.481693,14,7,1.62,3.93,6.32
Serie_A 2025_111_97_2025-09-14 18:45:00,2025-09-14 18:45:00,True,111,AC Milan,w,97,Bologna,1.15538,1,344,21,7,2.2569,1.15538,0.198634,0,196,19,2,0.198634,14,5,1.91,3.52,4.42
Serie_A 2025_111_99_2025-09-20 18:45:00,2025-09-20 18:45:00,False,111,AC Milan,w,99,Udinese,1.70251,3,199,13,10,2.493,1.70251,0.298364,0,415,22,5,0.298364,13,10,1.86,3.63,4.47
Serie_A 2025_105_111_2025-09-28 18:45:00,2025-09-28 18:45:00,True,111,AC Milan,w,105,Napoli,0.952575,2,298,14,4,0.44480000000000003,0.952575,2.23894,1,242,18,4,1.47764,6,19,2.34,3.3,3.3
Serie_A 2025_111_98_2025-10-05 18:45:00,2025-10-05 18:45:00,False,111,AC Milan,d,98,Juventus,1.55707,0,287,13,3,2.2260999999999997,0.795771,0.570595,0,300,14,6,0.570595,13,12,2.76,3.21,2.78
Serie_A 2025_110_111_2025-10-19 18:45:00,2025-10-19 18:45:00,True,111,AC Milan,w,110,Fiorentina,2.01853,2,211,20,3,2.2794,1.25723,0.965997,1,266,16,3,0.965997,14,5,1.56,4.33,6.09
Serie_A 2025_111_291_2025-10-24 18:45:00,2025-10-24 18:45:00,True,111,AC Milan,d,291,Pisa,1.97232,2,170,16,15,1.9439000000000002,1.97232,1.22514,2,326,24,4,0.463839,20,8,1.3,5.66,10.97
Serie_A 2025_107_111_2025-10-28 18:45:00,2025-10-28 18:45:00,False,111,AC Milan,d,107,Atalanta,0.626418,1,273,14,4,0.7927,0.626418,1.28167,1,253,19,6,1.28167,6,17,2.81,3.3,2.71
Serie_A 2025_111_95_2025-11-02 19:45:00,2025-11-02 19:45:00,True,111,AC Milan,w,95,Roma,3.76419,1,265,8,8,2.5067,3.76419,1.95443,0,188,20,9,1.19313,17,20,2.16,3.21,3.87
Serie_A 2025_111_230_2025-11-08 19:45:00,2025-11-08 19:45:00,False,111,AC Milan,d,230,Parma Calcio 1913,2.05467,2,268,15,12,1.8427000000000002,1.29337,1.45012,2,296,15,5,1.45012,10,14,1.6,3.93,6.27
Serie_A 2025_106_111_2025-11-23 19:45:00,2025-11-23 19:45:00,False,111,AC Milan,w,106,Inter,0.856085,1,327,15,3,0.5855,0.856085,1.74448,0,218,22,14,0.983176,7,20,4.09,3.48,1.99
Serie_A 2025_111_96_2025-11-29 19:45:00,2025-11-29 19:45:00,True,111,AC Milan,w,96,Lazio,1.48113,1,332,22,6,1.8413,1.48113,0.899621,0,306,18,5,0.899621,16,9,1.63,4.03,5.67
Serie_A 2025_111_113_2025-12-08 19:45:00,2025-12-08 19:45:00,False,111,AC Milan,w,113,Torino,2.10495,3,176,10,9,2.2104999999999997,2.10495,1.01008,2,327,26,4,0.248785,17,8,1.8,3.61,4.89
Serie_A 2025_104_111_2025-12-14 11:30:00,2025-12-14 11:30:00,True,111,AC Milan,d,104,Sassuolo,1.83346,2,241,23,8,1.9803,1.83346,1.02843,2,315,22,4,1.02843,13,8,1.42,4.78,8.05
Serie_A 2025_111_94_2025-12-28 11:30:00,2025-12-28 11:30:00,True,111,AC Milan,w,94,Verona,2.87827,3,231,15,3,2.9341,2.11697,0.32776,0,250,29,1,0.32776,11,9,1.38,4.98,8.81
Serie_A 2025_111_116_2026-01-02 19:45:00,2026-01-02 19:45:00,False,111,AC Milan,w,116,Cagliari,0.893304,1,307,28,10,1.8861,0.893304,0.308283,0,331,12,4,0.308283,11,6,1.61,4.01,6.25
Serie_A 2025_101_111_2026-01-08 19:45:00,2026-01-08 19:45:00,True,111,AC Milan,d,101,Genoa,2.11615,1,222,25,18,1.8399999999999999,2.11615,1.43745,1,270,7,0,0.676154,32,7,1.44,4.47,8.31
Serie_A 2025_110_111_2026-01-11 14:00:00,2026-01-11 14:00:00,False,111,AC Milan,d,110,Fiorentina,2.05263,1,252,22,7,1.1864000000000001,2.05263,2.38025,1,249,20,7,2.38025,13,20,2.03,3.5,3.89
Serie_A 2025_111_286_2026-01-15 19:45:00,2026-01-15 19:45:00,False,111,AC Milan,w,286,Como,1.3926,3,401,16,3,1.024,0.631299,1.86946,1,195,21,8,1.86946,7,18,2.55,3.27,2.99
Serie_A 2025_111_243_2026-01-18 19:45:00,2026-01-18 19:45:00,True,111,AC Milan,w,243,Lecce,3.17447,1,179,19,13,2.9278,3.17447,0.1816,0,446,19,1,0.1816,20,4,1.29,5.0,13.0
Serie_A 2025_111_95_2026-01-25 19:45:00,2026-01-25 19:45:00,False,111,AC Milan,d,95,Roma,0.583212,1,243,15,1,0.29910000000000003,0.583212,2.13573,1,282,32,10,1.37443,5,15,2.88,3.1,2.63
Serie_A 2025_111_97_2026-02-03 19:45:00,2026-02-03 19:45:00,False,111,AC Milan,w,97,Bologna,3.35769,3,247,12,4,2.9114000000000004,2.59639,0.440526,0,286,26,10,0.440526,10,13,2.5,3.25,2.9
Serie_A 2025_111_291_2026-02-13 19:45:00,2026-02-13 19:45:00,False,111,AC Milan,w,291,Pisa,2.15769,2,186,16,2,2.3455,1.39639,0.937275,1,464,17,2,0.937275,7,7,1.5,4.2,6.5
Serie_A 2025_111_286_2026-02-18 19:45:00,2026-02-18 19:45:00,True,111,AC Milan,d,286,Como,1.17019,1,290,25,1,0.9792000000000001,1.17019,1.64526,1,343,19,8,1.64526,6,10,2.25,3.3,3.25
Serie_A 2025_111_230_2026-02-22 17:00:00,2026-02-22 17:00:00,True,111,AC Milan,l,230,Parma Calcio 1913,1.63438,0,188,28,20,2.0291,1.63438,0.760094,1,219,14,1,0.760094,25,9,1.33,5.0,9.5
Serie_A 2025_111_272_2026-03-01 11:30:00,2026-03-01 11:30:00,False,111,AC Milan,w,272,Cremonese,3.87512,2,194,18,11,2.7647,3.87512,1.08387,0,242,22,2,1.08387,20,15,1.5,4.33,6.5
Serie_A 2025_106_111_2026-03-08 19:45:00,2026-03-08 19:45:00,True,111,AC Milan,w,106,Inter,0.852014,1,283,18,3,0.8398000000000001,0.852014,1.44398,0,256,26,13,1.44398,9,11,3.6,3.0,2.25
Serie_A 2025_111_96_2026-03-15 19:45:00,2026-03-15 19:45:00,False,111,AC Milan,l,96,Lazio,1.16179,0,255,26,12,1.8828,1.16179,0.538397,1,352,15,5,0.538397,17,7,1.95,3.3,4.1
Serie_A 2025_111_113_2026-03-21 17:00:00,2026-03-21 17:00:00,True,111,AC Milan,w,113,Torino,1.44337,3,167,11,11,0.6829000000000001,1.44337,2.37211,2,327,15,3,1.61081,15,19,1.4,4.75,7.5
Serie_A 2025_105_111_2026-04-06 18:45:00,2026-04-06 18:45:00,False,111,AC Milan,l,105,Napoli,0.810602,0,352,15,9,1.2967,0.810602,0.872402,1,282,10,5,0.872402,7,10,3.0,3.0,2.55
Serie_A 2025_111_99_2026-04-11 16:00:00,2026-04-11 16:00:00,True,111,AC Milan,l,99,Udinese,1.62737,0,147,23,6,1.4247,1.62737,1.566,3,332,29,7,1.566,20,12,1.42,4.5,8.0
Serie_A 2025_111_94_2026-04-19 13:00:00,2026-04-19 13:00:00,False,111,AC Milan,w,94,Verona,0.830747,1,217,8,5,1.4807,0.830747,0.709696,0,283,19,2,0.709696,6,13,1.57,3.9,6.25
Serie_A 2025_111_98_2026-04-26 18:45:00,2026-04-26 18:45:00,True,111,AC Milan,d,98,Juventus,0.616342,0,259,13,7,1.4859,0.616342,0.449727,0,291,19,2,0.449727,8,10,3.1,3.1,2.45
Serie_A 2025_104_111_2026-05-03 13:00:00,2026-05-03 13:00:00,False,111,AC Milan,l,104,Sassuolo,0.288558,0,360,23,3,0.1058,0.288558,2.23502,2,207,17,10,2.23502,7,13,1.73,4.1,4.5
Serie_A 2025_107_111_2026-05-10 18:45:00,2026-05-10 18:45:00,True,111,AC Milan,l,107,Atalanta,2.28396,2,245,16,8,1.8691999999999998,1.52266,1.60752,3,347,29,12,1.60752,20,9,2.1,3.3,3.5
Serie_A 2025_101_111_2026-05-17 10:30:00,2026-05-17 10:30:00,False,111,AC Milan,w,101,Genoa,1.55422,2,257,22,7,1.2582,0.792916,1.66881,1,149,16,6,1.66881,8,11,1.7,3.7,4.5
Serie_A 2025_111_116_2026-05-24 18:45:00,2026-05-24 18:45:00,True,111,AC Milan,l,116,Cagliari,1.75953,1,331,15,7,0.4546,1.75953,3.43624,2,266,12,5,3.43624,16,25,1.29,5.5,11.0
