match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2025_106_113_2025-08-25 18:45:00,2025-08-25 18:45:00,False,113,Torino,l,106,Inter,0.816232,0,419,10,3,0.3415,0.816232,2.60956,5,253,31,15,2.60956,12,20,7.32,4.83,1.44
Serie_A 2025_110_113_2025-08-31 16:30:00,2025-08-31 16:30:00,True,113,Torino,d,110,Fiorentina,1.05012,0,231,19,7,1.2317,1.05012,1.18859,0,150,17,2,1.18859,7,16,3.21,3.16,2.47
Serie_A 2025_113_95_2025-09-14 10:30:00,2025-09-14 10:30:00,False,113,Torino,w,95,Roma,0.805089,1,311,14,2,1.17,0.805089,1.02943,0,102,19,6,1.02943,8,22,6.88,4.24,1.52
Serie_A 2025_107_113_2025-09-21 13:00:00,2025-09-21 13:00:00,True,113,Torino,l,107,Atalanta,1.31336,0,383,24,4,1.0063,0.43578,1.67723,3,244,19,8,1.67723,11,9,3.38,3.36,2.27
Serie_A 2025_113_230_2025-09-29 16:30:00,2025-09-29 16:30:00,False,113,Torino,l,230,Parma Calcio 1913,0.660829,1,144,16,6,0.6448,0.660829,1.44462,2,251,17,1,0.683322,15,13,3.42,3.19,2.34
Serie_A 2025_113_96_2025-10-04 13:00:00,2025-10-04 13:00:00,False,113,Torino,d,96,Lazio,2.18108,3,238,34,9,1.923,2.18108,1.45075,3,261,24,3,0.68945,16,9,5.74,3.53,1.72
Serie_A 2025_105_113_2025-10-18 16:00:00,2025-10-18 16:00:00,True,113,Torino,w,105,Napoli,1.90815,1,330,13,2,1.5664000000000002,1.90815,1.71911,0,151,17,9,1.71911,12,22,5.69,3.25,1.81
Serie_A 2025_101_113_2025-10-26 10:30:00,2025-10-26 10:30:00,True,113,Torino,w,101,Genoa,1.8196,2,171,22,6,1.2526,1.8196,1.9796,1,258,12,7,1.9796,13,11,2.35,2.96,3.71
Serie_A 2025_113_97_2025-10-29 18:45:00,2025-10-29 18:45:00,False,113,Torino,d,97,Bologna,0.797473,0,388,19,4,1.8261,0.797473,0.3322,0,128,17,6,0.3322,8,11,5.16,3.46,1.81
Serie_A 2025_113_291_2025-11-02 14:00:00,2025-11-02 14:00:00,True,113,Torino,d,291,Pisa,1.22388,2,159,17,8,0.7653000000000001,1.22388,1.90329,2,298,14,7,1.14199,15,11,2.01,3.32,4.26
Serie_A 2025_113_98_2025-11-08 17:00:00,2025-11-08 17:00:00,False,113,Torino,d,98,Juventus,0.405589,0,428,10,2,0.3268,0.405589,1.93707,0,170,28,4,1.93707,8,22,7.34,4.16,1.51
