experiment_name,description,fold,val_season,test_season,status,return_code,started_at,elapsed_seconds,seed,trials,n_estimators,selected_strategy_count,summary_path,bets_path,log_path,test_bets,test_wins,test_profit,test_roi,test_hit_rate,test_avg_odds
draw_multiclass_nonfavorite,"Multiclass XGBoost, draw-only value bets, no market favorites.",val2021_test2022,2021,2022,skipped_existing,0,2026-06-18T01:49:23,0.0,2063,1,120,4,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\draw_multiclass_nonfavorite_val2021_test2022_summary.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\draw_multiclass_nonfavorite_val2021_test2022_bets.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\logs\draw_multiclass_nonfavorite_val2021_test2022.log,91,23,-8.04,-0.08835164835164834,0.25274725274725274,3.879340659340659
draw_multiclass_nonfavorite,"Multiclass XGBoost, draw-only value bets, no market favorites.",val2022_test2023,2022,2023,skipped_existing,0,2026-06-18T01:49:23,0.0,2064,1,120,4,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\draw_multiclass_nonfavorite_val2022_test2023_summary.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\draw_multiclass_nonfavorite_val2022_test2023_bets.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\logs\draw_multiclass_nonfavorite_val2022_test2023.log,126,35,33.31999999999999,0.26444444444444437,0.2777777777777778,4.927063492063493
draw_multiclass_nonfavorite,"Multiclass XGBoost, draw-only value bets, no market favorites.",val2023_test2024,2023,2024,skipped_existing,0,2026-06-18T01:49:23,0.0,2065,1,120,4,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\draw_multiclass_nonfavorite_val2023_test2024_summary.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\draw_multiclass_nonfavorite_val2023_test2024_bets.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\logs\draw_multiclass_nonfavorite_val2023_test2024.log,174,28,-32.839999999999996,-0.18873563218390801,0.16091954022988506,5.483735632183908
draw_multiclass_nonfavorite,"Multiclass XGBoost, draw-only value bets, no market favorites.",val2024_test2025,2024,2025,skipped_existing,0,2026-06-18T01:49:23,0.0,2066,1,120,4,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\draw_multiclass_nonfavorite_val2024_test2025_summary.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\draw_multiclass_nonfavorite_val2024_test2025_bets.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\logs\draw_multiclass_nonfavorite_val2024_test2025.log,94,22,21.46,0.22829787234042553,0.23404255319148937,5.354042553191489
multiclass_all_outcomes_value,"Multiclass model can select home, draw, or away outcomes.",val2021_test2022,2021,2022,skipped_existing,0,2026-06-18T01:49:23,0.0,3063,1,120,4,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\multiclass_all_outcomes_value_val2021_test2022_summary.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\multiclass_all_outcomes_value_val2021_test2022_bets.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\logs\multiclass_all_outcomes_value_val2021_test2022.log,78,19,-6.309999999999997,-0.08089743589743585,0.24358974358974358,3.9664102564102572
multiclass_all_outcomes_value,"Multiclass model can select home, draw, or away outcomes.",val2022_test2023,2022,2023,skipped_existing,0,2026-06-18T01:49:23,0.0,3064,1,120,4,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\multiclass_all_outcomes_value_val2022_test2023_summary.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\multiclass_all_outcomes_value_val2022_test2023_bets.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\logs\multiclass_all_outcomes_value_val2022_test2023.log,114,26,2.799999999999999,0.02456140350877192,0.22807017543859648,5.336842105263158
multiclass_all_outcomes_value,"Multiclass model can select home, draw, or away outcomes.",val2023_test2024,2023,2024,skipped_existing,0,2026-06-18T01:49:23,0.0,3065,1,120,4,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\multiclass_all_outcomes_value_val2023_test2024_summary.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\multiclass_all_outcomes_value_val2023_test2024_bets.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\logs\multiclass_all_outcomes_value_val2023_test2024.log,114,26,-10.339999999999996,-0.09070175438596488,0.22807017543859648,4.702719298245614
multiclass_all_outcomes_value,"Multiclass model can select home, draw, or away outcomes.",val2024_test2025,2024,2025,skipped_existing,0,2026-06-18T01:49:23,0.0,3066,1,120,4,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\multiclass_all_outcomes_value_val2024_test2025_summary.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\multiclass_all_outcomes_value_val2024_test2025_bets.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\logs\multiclass_all_outcomes_value_val2024_test2025.log,137,26,-3.5399999999999974,-0.02583941605839414,0.1897810218978102,5.0805109489051095
away_underdog_value,Multiclass away-win value bets where away is not the market favorite.,val2021_test2022,2021,2022,skipped_existing,0,2026-06-18T01:49:23,0.0,4063,1,120,4,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\away_underdog_value_val2021_test2022_summary.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\away_underdog_value_val2021_test2022_bets.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\logs\away_underdog_value_val2021_test2022.log,73,15,-4.17,-0.05712328767123288,0.2054794520547945,4.5200000000000005
away_underdog_value,Multiclass away-win value bets where away is not the market favorite.,val2022_test2023,2022,2023,skipped_existing,0,2026-06-18T01:49:23,0.0,4064,1,120,4,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\away_underdog_value_val2022_test2023_summary.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\away_underdog_value_val2022_test2023_bets.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\logs\away_underdog_value_val2022_test2023.log,80,7,-35.3,-0.44125,0.0875,6.385625
away_underdog_value,Multiclass away-win value bets where away is not the market favorite.,val2023_test2024,2023,2024,skipped_existing,0,2026-06-18T01:49:23,0.0,4065,1,120,4,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\away_underdog_value_val2023_test2024_summary.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\away_underdog_value_val2023_test2024_bets.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\logs\away_underdog_value_val2023_test2024.log,83,19,-8.530000000000001,-0.10277108433734941,0.2289156626506024,4.445903614457832
away_underdog_value,Multiclass away-win value bets where away is not the market favorite.,val2024_test2025,2024,2025,skipped_existing,0,2026-06-18T01:49:23,0.0,4066,1,120,4,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\away_underdog_value_val2024_test2025_summary.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\away_underdog_value_val2024_test2025_bets.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\logs\away_underdog_value_val2024_test2025.log,81,20,-8.659999999999997,-0.10691358024691354,0.24691358024691357,4.211728395061728
seriea_away_underdog_value,Serie A away-win value bets where away is not the market favorite.,val2021_test2022,2021,2022,skipped_existing,0,2026-06-18T01:49:23,0.0,5063,1,120,2,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\seriea_away_underdog_value_val2021_test2022_summary.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\seriea_away_underdog_value_val2021_test2022_bets.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\logs\seriea_away_underdog_value_val2021_test2022.log,43,11,17.030000000000005,0.3960465116279071,0.2558139534883721,6.0086046511627895
seriea_away_underdog_value,Serie A away-win value bets where away is not the market favorite.,val2022_test2023,2022,2023,skipped_existing,0,2026-06-18T01:49:23,0.0,5064,1,120,1,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\seriea_away_underdog_value_val2022_test2023_summary.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\seriea_away_underdog_value_val2022_test2023_bets.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\logs\seriea_away_underdog_value_val2022_test2023.log,44,4,-27.0,-0.6136363636363636,0.09090909090909091,5.9854545454545445
seriea_away_underdog_value,Serie A away-win value bets where away is not the market favorite.,val2023_test2024,2023,2024,failed,1,2026-06-18T01:49:23,7.039,5065,1,120,0,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\seriea_away_underdog_value_val2023_test2024_summary.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\seriea_away_underdog_value_val2023_test2024_bets.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\logs\seriea_away_underdog_value_val2023_test2024.log,0,0,0.0,,,
seriea_away_underdog_value,Serie A away-win value bets where away is not the market favorite.,val2024_test2025,2024,2025,ok,0,2026-06-18T01:49:30,6.959,5066,1,120,1,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\seriea_away_underdog_value_val2024_test2025_summary.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\folds\seriea_away_underdog_value_val2024_test2025_bets.csv,C:\Users\moham\OneDrive\Bureau\foot ia\train\output\experimental_protocol_targeted_favorite_fix\logs\seriea_away_underdog_value_val2024_test2025.log,24,3,-0.1999999999999993,-0.008333333333333304,0.125,7.440416666666667
