rank,experiment_name,eligible,completed_folds,failed_folds,total_test_bets,total_test_wins,total_test_profit,pooled_test_roi,pooled_hit_rate,mean_fold_roi,median_fold_roi,min_fold_roi,max_fold_roi,std_fold_roi,risk_adjusted_roi,profitable_folds,negative_folds,zero_bet_folds
1,draw_consensus_nonfavorite,True,4,0,530,135,41.86,0.0789811320754717,0.25471698113207547,0.0755939593542166,0.08821943959101793,-0.1254814814814815,0.25141843971631206,0.13446290031881789,-0.05886894096460128,3,1,0
2,bundesliga_long_draw,True,4,0,215,53,37.919999999999995,0.1763720930232558,0.24651162790697675,0.17634682258370782,0.13158360655737703,-0.1513513513513513,0.5935714285714285,0.26944086969895975,-0.09309404711525193,3,1,0
3,multiclass_all_outcomes_value,False,4,0,443,97,-17.389999999999993,-0.03925507900677199,0.21896162528216703,-0.043219300708255734,-0.053368425977914996,-0.09070175438596488,0.02456140350877192,0.04628852323521623,-0.08950782394347197,1,3,0
4,draw_multiclass_nonfavorite,False,4,0,485,108,13.899999999999999,0.028659793814432986,0.22268041237113403,0.05391375906232839,0.0699731119943886,-0.18873563218390801,0.26444444444444437,0.1961193269862035,-0.1422055679238751,2,2,0
5,away_underdog_value,False,4,0,317,61,-56.66,-0.17873817034700315,0.19242902208201892,-0.17701448806387396,-0.10484233229213147,-0.44125,-0.05712328767123288,0.1538022480113642,-0.33081673607523815,0,4,0
6,seriea_away_underdog_value,False,3,1,111,18,-10.169999999999995,-0.09162162162162157,0.16216216216216217,-0.07530772844726329,-0.008333333333333304,-0.6136363636363636,0.3960465116279071,0.4149128859179469,-0.4902206143652102,1,2,0
