match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2025_170_174_2025-08-16 19:05:00,2025-08-16 19:05:00,True,170,Nice,l,174,Toulouse,0.95554,0,213,19,11,1.7374999999999998,0.95554,0.56945,1,272,19,9,0.56945,13,10,2.12,3.45,3.69
Ligue_1 2025_170_275_2025-08-23 17:00:00,2025-08-23 17:00:00,True,170,Nice,w,275,Auxerre,2.66284,3,223,21,7,1.6905000000000001,2.66284,2.24407,1,306,26,5,2.24407,16,12,1.68,4.12,4.98
Ligue_1 2025_170_282_2025-08-31 15:15:00,2025-08-31 15:15:00,False,170,Nice,l,282,Le Havre,0.715595,1,208,27,5,0.5641,0.715595,1.75553,3,266,14,4,1.75553,7,12,2.08,3.59,3.64
Ligue_1 2025_168_170_2025-09-13 15:00:00,2025-09-13 15:00:00,True,170,Nice,w,168,Nantes,2.34645,1,183,19,3,2.4593,2.34645,0.775945,0,274,25,3,0.775945,19,14,1.71,3.89,5.1
Ligue_1 2025_170_241_2025-09-20 17:00:00,2025-09-20 17:00:00,False,170,Nice,l,241,Brest,2.26393,1,214,20,13,1.4778,2.26393,2.07376,4,343,26,4,2.07376,21,11,2.56,3.59,2.75
Ligue_1 2025_170_290_2025-09-28 13:00:00,2025-09-28 13:00:00,True,170,Nice,d,290,Paris FC,1.36997,1,334,25,5,1.2283,1.36997,1.49444,1,224,19,6,0.734345,11,13,1.88,3.99,3.96
Ligue_1 2025_170_171_2025-10-05 15:15:00,2025-10-05 15:15:00,False,170,Nice,d,171,Monaco,1.13121,2,253,12,9,0.41159999999999997,0.371112,2.4556,2,125,25,12,0.935413,9,20,3.86,3.77,1.96
Ligue_1 2025_170_178_2025-10-18 15:00:00,2025-10-18 15:00:00,True,170,Nice,w,178,Lyon,1.16366,3,291,10,2,0.262,1.16366,2.89867,2,121,22,13,2.13857,5,29,2.54,3.54,2.81
Ligue_1 2025_163_170_2025-10-26 15:15:00,2025-10-26 15:15:00,False,170,Nice,w,163,Rennes,0.88734,2,268,22,2,0.8229,0.88734,1.54435,1,228,23,2,1.54435,8,19,3.28,3.64,2.2
Ligue_1 2025_160_170_2025-10-29 17:00:00,2025-10-29 17:00:00,True,170,Nice,w,160,Lille,1.74459,2,295,10,2,2.3074000000000003,0.984498,0.661109,0,179,25,9,0.661109,8,21,3.07,3.52,2.36
Ligue_1 2025_161_170_2025-11-01 16:00:00,2025-11-01 16:00:00,False,170,Nice,l,161,Paris Saint Germain,0.3867,0,322,4,0,0.3238,0.3867,1.88647,1,148,43,30,1.88647,5,28,10.13,6.72,1.26
Ligue_1 2025_170_180_2025-11-09 16:15:00,2025-11-09 16:15:00,False,170,Nice,l,180,Metz,0.784993,1,273,28,6,0.7901999999999999,0.784993,1.32977,2,322,28,3,0.569675,11,9,2.14,3.73,3.35
Ligue_1 2025_164_170_2025-11-21 19:45:00,2025-11-21 19:45:00,True,170,Nice,l,164,Marseille,1.36131,1,338,24,7,0.39759999999999995,1.36131,3.09163,5,329,14,8,3.09163,15,13,3.92,3.7,1.96
Ligue_1 2025_170_179_2025-11-30 16:15:00,2025-11-30 16:15:00,False,170,Nice,l,179,Lorient,1.3285,1,222,15,7,0.1953,1.3285,3.49255,3,342,17,15,3.49255,9,18,3.03,3.38,2.45
Ligue_1 2025_167_170_2025-12-07 14:00:00,2025-12-07 14:00:00,True,170,Nice,l,167,Angers,1.38209,0,319,20,5,1.3933,1.38209,1.33715,1,340,24,5,1.33715,13,8,2.02,3.62,3.79
Ligue_1 2025_170_210_2025-12-14 16:15:00,2025-12-14 16:15:00,False,170,Nice,l,210,Lens,0.733412,0,270,27,6,0.46319999999999995,0.733412,1.91622,2,342,36,4,1.91622,8,15,6.49,4.72,1.49
Ligue_1 2025_170_225_2026-01-03 18:00:00,2026-01-03 18:00:00,True,170,Nice,d,225,Strasbourg,2.39473,1,370,26,9,2.1075000000000004,2.39473,1.38731,1,304,27,11,0.627215,19,8,2.72,3.53,2.61
Ligue_1 2025_170_174_2026-01-17 18:00:00,2026-01-17 18:00:00,False,170,Nice,l,174,Toulouse,1.41914,1,247,27,4,1.1348,1.41914,1.77349,5,334,21,11,1.77349,15,22,3.9,3.5,1.95
Ligue_1 2025_168_170_2026-01-25 14:00:00,2026-01-25 14:00:00,False,170,Nice,w,168,Nantes,1.6112,4,203,24,4,1.1088,1.6112,1.98581,1,222,32,10,1.98581,7,20,2.38,3.5,2.9
Ligue_1 2025_170_241_2026-02-01 16:15:00,2026-02-01 16:15:00,True,170,Nice,d,241,Brest,1.2009,2,182,28,4,0.8341999999999999,1.2009,1.83505,2,310,31,3,1.07495,15,12,2.1,3.3,3.7
Ligue_1 2025_170_171_2026-02-08 14:00:00,2026-02-08 14:00:00,True,170,Nice,d,171,Monaco,0.455943,0,230,26,3,0.9116,0.455943,0.827302,0,151,30,6,0.827302,13,10,3.1,3.75,2.15
Ligue_1 2025_170_178_2026-02-15 19:45:00,2026-02-15 19:45:00,False,170,Nice,l,178,Lyon,1.30477,0,416,21,4,0.7633000000000001,1.30477,1.9974,2,283,31,5,1.9974,10,9,5.5,3.9,1.62
Ligue_1 2025_170_179_2026-02-22 16:15:00,2026-02-22 16:15:00,True,170,Nice,d,179,Lorient,2.74646,3,301,23,9,1.9874999999999998,2.74646,1.97697,3,232,11,10,1.21688,8,17,2.05,3.6,3.4
